City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
London,2012,Aquatics,Swimming,"PHELPS, Michael",USA,Men,100m butterfly,M,Gold
London,2012,Aquatics,Swimming,"PHELPS, Michael",USA,Men,200m butterfly,M,Silver
London,2012,Aquatics,Swimming,"PHELPS, Michael",USA,Men,200m individual medley,M,Gold
London,2012,Aquatics,Swimming,"PHELPS, Michael",USA,Men,4x100m freestyle relay,M,Silver
London,2012,Aquatics,Swimming,"PHELPS, Michael",USA,Men,4x200m freestyle relay,M,Gold
London,2012,Aquatics,Swimming,"PHELPS, Michael",USA,Men,4x100m medley relay,M,Gold
London,2012,Aquatics,Swimming,"FRANKLIN, Missy",USA,Women,100m backstroke,W,Gold
London,2012,Aquatics,Swimming,"FRANKLIN, Missy",USA,Women,200m backstroke,W,Gold
London,2012,Aquatics,Swimming,"FRANKLIN, Missy",USA,Women,4x100m freestyle relay,W,Bronze
London,2012,Aquatics,Swimming,"FRANKLIN, Missy",USA,Women,4x200m freestyle relay,W,Gold
London,2012,Aquatics,Swimming,"FRANKLIN, Missy",USA,Women,4x100m medley relay,W,Gold
London,2012,Aquatics,Swimming,"SCHMITT, Allison",USA,Women,200m freestyle,W,Gold
London,2012,Aquatics,Swimming,"SCHMITT, Allison",USA,Women,400m freestyle,W,Silver
London,2012,Aquatics,Swimming,"SCHMITT, Allison",USA,Women,4x100m freestyle relay,W,Bronze
London,2012,Aquatics,Swimming,"SCHMITT, Allison",USA,Women,4x200m freestyle relay,W,Gold
London,2012,Aquatics,Swimming,"SCHMITT, Allison",USA,Women,4x100m medley relay,W,Gold
London,2012,Athletics,Athletics,"BOLT, Usain",JAM,Men,100m,M,Gold
London,2012,Athletics,Athletics,"BOLT, Usain",JAM,Men,200m,M,Gold
London,2012,Athletics,Athletics,"BOLT, Usain",JAM,Men,4x100m relay,M,Gold
London,2012,Athletics,Athletics,"FELIX, Allyson",USA,Women,200m,W,Gold
London,2012,Athletics,Athletics,"FELIX, Allyson",USA,Women,4x100m relay,W,Gold
London,2012,Athletics,Athletics,"FELIX, Allyson",USA,Women,4x400m relay,W,Gold
London,2012,Aquatics,Swimming,"VOLLMER, Dana",USA,Women,100m butterfly,W,Gold
London,2012,Aquatics,Swimming,"VOLLMER, Dana",USA,Women,4x200m freestyle relay,W,Gold
London,2012,Aquatics,Swimming,"VOLLMER, Dana",USA,Women,4x100m medley relay,W,Gold
London,2012,Aquatics,Swimming,"LOCHTE, Ryan",USA,Men,200m backstroke,M,Bronze
London,2012,Aquatics,Swimming,"LOCHTE, Ryan",USA,Men,200m individual medley,M,Silver
London,2012,Aquatics,Swimming,"LOCHTE, Ryan",USA,Men,400m individual medley,M,Gold
London,2012,Aquatics,Swimming,"LOCHTE, Ryan",USA,Men,4x100m freestyle relay,M,Silver
London,2012,Aquatics,Swimming,"LOCHTE, Ryan",USA,Men,4x200m freestyle relay,M,Gold
London,2012,Aquatics,Swimming,"SUN, Yang",CHN,Men,200m freestyle,M,Silver
London,2012,Aquatics,Swimming,"SUN, Yang",CHN,Men,400m freestyle,M,Gold
London,2012,Aquatics,Swimming,"SUN, Yang",CHN,Men,1500m freestyle,M,Gold
London,2012,Aquatics,Swimming,"SUN, Yang",CHN,Men,4x200m freestyle relay,M,Bronze
London,2012,Aquatics,Swimming,"KROMOWIDJOJO, Ranomi",NED,Women,50m freestyle,W,Gold
London,2012,Aquatics,Swimming,"KROMOWIDJOJO, Ranomi",NED,Women,100m freestyle,W,Gold
London,2012,Aquatics,Swimming,"KROMOWIDJOJO, Ranomi",NED,Women,4x100m freestyle relay,W,Silver
London,2012,Aquatics,Swimming,"AGNEL, Yannick",FRA,Men,200m freestyle,M,Gold
London,2012,Aquatics,Swimming,"AGNEL, Yannick",FRA,Men,4x100m freestyle relay,M,Gold
